Data Term,Data Year,Row,Term Type,Updated,County Count,County,Data Term,Latitude (generated),Longitude (generated),Rank of Headcount Rank,Headcount
Fall 2018,2018,37199,Fall,9/4/18,1,Yancey,Fall 2018,35.8917,-82.2975,85,10
Fall 2018,2018,37197,Fall,9/4/18,1,Yadkin,Fall 2018,36.1664,-80.657,67,23
Fall 2018,2018,37195,Fall,9/4/18,1,Wilson,Fall 2018,35.7201,-77.9431,36,73
Fall 2018,2018,37193,Fall,9/4/18,1,Wilkes,Fall 2018,36.2151,-81.1701,55,37
Fall 2018,2018,37191,Fall,9/4/18,1,Wayne,Fall 2018,35.3725,-77.9812,26,106
Fall 2018,2018,37189,Fall,9/4/18,1,Watauga,Fall 2018,36.2514,-81.7044,44,58
Fall 2018,2018,37187,Fall,9/4/18,1,Washington,Fall 2018,35.8405,-76.5773,91,8
Fall 2018,2018,37185,Fall,9/4/18,1,Warren,Fall 2018,36.3734,-78.1029,75,15
Fall 2018,2018,37183,Fall,9/4/18,1,Wake,Fall 2018,35.798,-78.6094,1,3030
Fall 2018,2018,37181,Fall,9/4/18,1,Vance,Fall 2018,36.3447,-78.3979,49,44
Fall 2018,2018,37179,Fall,9/4/18,1,Union,Fall 2018,35.0113,-80.5626,7,558
Fall 2018,2018,37177,Fall,9/4/18,1,Tyrrell,Fall 2018,35.7969,-76.2575,98,2
Fall 2018,2018,37175,Fall,9/4/18,1,Transylvania,Fall 2018,35.2253,-82.7697,62,27
Fall 2018,2018,37173,Fall,9/4/18,1,Swain,Fall 2018,35.4872,-83.5969,94,5
Fall 2018,2018,37171,Fall,9/4/18,1,Surry,Fall 2018,36.4,-80.7065,33,81
Fall 2018,2018,37169,Fall,9/4/18,1,Stokes,Fall 2018,36.409,-80.2393,57,35
Fall 2018,2018,37167,Fall,9/4/18,1,Stanly,Fall 2018,35.323,-80.2478,51,40
Fall 2018,2018,37165,Fall,9/4/18,1,Scotland,Fall 2018,34.8371,-79.484,64,24
Fall 2018,2018,37163,Fall,9/4/18,1,Sampson,Fall 2018,34.9352,-78.3612,48,47
Fall 2018,2018,37161,Fall,9/4/18,1,Rutherford,Fall 2018,35.3967,-81.9147,43,60
Fall 2018,2018,37159,Fall,9/4/18,1,Rowan,Fall 2018,35.6834,-80.5507,23,117
Fall 2018,2018,37157,Fall,9/4/18,1,Rockingham,Fall 2018,36.3943,-79.7777,32,83
Fall 2018,2018,37155,Fall,9/4/18,1,Robeson,Fall 2018,34.6272,-79.1436,40,68
Fall 2018,2018,37153,Fall,9/4/18,1,Richmond,Fall 2018,34.9947,-79.7277,51,40
Fall 2018,2018,37151,Fall,9/4/18,1,Randolph,Fall 2018,35.7161,-79.8027,22,132
Fall 2018,2018,37149,Fall,9/4/18,1,Polk,Fall 2018,35.2971,-82.1763,61,28
Fall 2018,2018,37147,Fall,9/4/18,1,Pitt,Fall 2018,35.5808,-77.3685,16,176
Fall 2018,2018,37145,Fall,9/4/18,1,Person,Fall 2018,36.3907,-78.9725,54,38
Fall 2018,2018,37143,Fall,9/4/18,1,Perquimans,Fall 2018,36.2279,-76.4477,98,2
Fall 2018,2018,37141,Fall,9/4/18,1,Pender,Fall 2018,34.5169,-77.9241,41,67
Fall 2018,2018,37139,Fall,9/4/18,1,Pasquotank,Fall 2018,36.3172,-76.3078,71,18
Fall 2018,2018,37137,Fall,9/4/18,1,Pamlico,Fall 2018,35.1476,-76.8618,85,10
Fall 2018,2018,37135,Fall,9/4/18,1,Orange,Fall 2018,36.0541,-79.1222,3,1321
Fall 2018,2018,37133,Fall,9/4/18,1,Onslow,Fall 2018,34.7213,-77.2486,19,147
Fall 2018,2018,37131,Fall,9/4/18,1,Northampton,Fall 2018,36.3559,-77.3693,80,12
Fall 2018,2018,37129,Fall,9/4/18,1,New Hanover,Fall 2018,34.159,-77.8974,9,372
Fall 2018,2018,37127,Fall,9/4/18,1,Nash,Fall 2018,35.9636,-77.977,31,84
Fall 2018,2018,37125,Fall,9/4/18,1,Moore,Fall 2018,35.2784,-79.4623,20,142
Fall 2018,2018,37123,Fall,9/4/18,1,Montgomery,Fall 2018,35.3237,-79.8985,71,18
Fall 2018,2018,37121,Fall,9/4/18,1,Mitchell,Fall 2018,35.9917,-82.1267,85,10
Fall 2018,2018,37119,Fall,9/4/18,1,Mecklenburg,Fall 2018,35.2586,-80.831,2,2054
Fall 2018,2018,37117,Fall,9/4/18,1,Martin,Fall 2018,35.8669,-77.195,77,14
Fall 2018,2018,37115,Fall,9/4/18,1,Madison,Fall 2018,35.8721,-82.6653,79,13
Fall 2018,2018,37113,Fall,9/4/18,1,Macon,Fall 2018,35.1625,-83.4796,63,26
Fall 2018,2018,37111,Fall,9/4/18,1,Mcdowell,Fall 2018,35.7389,-82.0433,60,29
Fall 2018,2018,37109,Fall,9/4/18,1,Lincoln,Fall 2018,35.485,-81.2181,24,116
Fall 2018,2018,37107,Fall,9/4/18,1,Lenoir,Fall 2018,35.2179,-77.6761,51,40
Fall 2018,2018,37105,Fall,9/4/18,1,Lee,Fall 2018,35.4674,-79.1892,36,73
Fall 2018,2018,37103,Fall,9/4/18,1,Jones,Fall 2018,35.0101,-77.4145,97,4
Fall 2018,2018,37101,Fall,9/4/18,1,Johnston,Fall 2018,35.5376,-78.3875,18,160
Fall 2018,2018,37099,Fall,9/4/18,1,Jackson,Fall 2018,35.2632,-83.1162,55,37
Fall 2018,2018,37097,Fall,9/4/18,1,Iredell,Fall 2018,35.7741,-80.9217,13,268
Fall 2018,2018,37095,Fall,9/4/18,1,Hyde,Fall 2018,35.5164,-76.2309,93,6
Fall 2018,2018,37093,Fall,9/4/18,1,Hoke,Fall 2018,35.0238,-79.2598,88,9
Fall 2018,2018,37091,Fall,9/4/18,1,Hertford,Fall 2018,36.3931,-77.031,82,11
Fall 2018,2018,37089,Fall,9/4/18,1,Henderson,Fall 2018,35.3228,-82.4741,27,101
Fall 2018,2018,37087,Fall,9/4/18,1,Haywood,Fall 2018,35.5419,-82.9658,64,24
Fall 2018,2018,37085,Fall,9/4/18,1,Harnett,Fall 2018,35.3877,-78.839,29,90
Fall 2018,2018,37083,Fall,9/4/18,1,Halifax,Fall 2018,36.2584,-77.6848,47,48
Fall 2018,2018,37081,Fall,9/4/18,1,Guilford,Fall 2018,36.0738,-79.7901,4,1025
